id,公司名稱,縣市,行政區,里別,行政區平日夜間停留人數,行政區平日日間活動人數,行政區假日夜間停留人數,行政區假日日間活動人數,里人均收入中位數,里人口數,發票張數指標,發票銷售額指標,500公尺內的熱鬧據點數,最近的熱鬧據點類型,最近的熱鬧據點距離,500公尺內部競爭(同公司店數),500公尺外部競爭(不同公司店數),租金,競爭壓力指標,生存難度,競爭優勢,是否便利商店,people_per_store,day_night_flow,登記現況
1961,三商家購股份有限公司,新北市,板橋區,龍翠里,571963,464101,570948,541426,602,4902,61.5,60.0,2.0,學校,188.0576675958907,1.0,26.0,22869.0,0.005302875790332449,594594.0,0.037037037037037035,0,175.07142857142858,0.8114164527837416,營運中
1158,統一超商股份有限公司,新北市,中和區,景福里,461867,397325,460394,432783,594,6375,91.0,90.0,3.0,捷運站,56.31220196561488,13.0,32.0,23622.0,0.005018820577164366,755904.0,0.3939393939393939,1,138.58695652173913,0.8602566101137121,營運中
3834,全家便利商店股份有限公司,新北市,樹林區,三多里,186549,176578,187333,179473,395,3922,54.0,64.0,0.0,學校,566.700808109408,3.0,7.0,17900.0,0.0017843487127198571,125300.0,0.375,1,356.54545454545456,0.9465451621549182,營運中
3200,全家便利商店股份有限公司,新北市,新店區,復興里,336985,305033,335622,323247,493,3026,96.5,97.5,3.0,醫院,56.9665076677148,11.0,29.0,76610.0,0.00958044268252395,2221690.0,0.36666666666666664,1,73.8048780487805,0.9051800371528788,營運中
3493,三商家購股份有限公司,新北市,新莊區,中宏里,438175,374258,436655,417962,506,3568,46.0,56.5,3.0,學校,259.30642601887547,4.0,43.0,26583.0,0.012048192771084338,1143069.0,0.09090909090909091,0,74.33333333333333,0.8541271087416928,營運中
4309,統一超商股份有限公司,臺北市,士林區,東山里,257735,256224,254274,263454,696,4888,84.0,86.5,1.0,學校,238.43953734943983,4.0,7.0,20250.0,0.0014317856412354264,141750.0,0.5,1,407.3333333333333,0.9941335319862185,營運中
3800,台灣屈臣氏個人用品商店股份有限公司,新北市,瑞芳區,龍興里,34663,39103,35163,40075,446,2033,70.0,66.0,4.0,火車站,94.1329287265866,0.0,14.0,15750.0,0.00688298918387414,220500.0,0.0,0,135.53333333333333,1.1280579275328873,營運中
4614,萊爾富國際股份有限公司,臺北市,大同區,鄰江里,121355,140077,120837,128687,498,5824,79.0,85.5,3.0,學校,296.9338420266666,6.0,32.0,26763.0,0.005493562231759657,856416.0,0.18181818181818182,1,149.33333333333334,1.1542651372820463,廢止
2269,統一超商股份有限公司,新北市,板橋區,東安里,571963,464101,570948,541426,503,2444,20.0,18.5,3.0,學校,241.06535640902308,6.0,21.0,19300.0,0.008588957055214725,405300.0,0.2727272727272727,1,87.28571428571429,0.8114164527837416,營運中
4606,統一超商股份有限公司,臺北市,大同區,大有里,121355,140077,120837,128687,581,4214,93.5,84.5,0.0,學校,553.1268507533713,8.0,14.0,52987.0,0.0033214709371293,741818.0,0.5333333333333333,1,183.2173913043478,1.1542651372820463,營運中
